id,Sentiment_Score
1,0.42085
2,0.10783000000000001
3,-0.18492999999999998
4,0.46765999999999996
5,-0.028279999999999993
6,-0.11738000000000001
7,0.04579000000000001
8,0.65492
9,0.20219
10,0.018510000000000016
39,0.15562
40,0.59473
41,0.00262
42,0.2956
43,0.16825
44,0.41350999999999993
45,0.4383
46,-0.15904000000000001
47,0.57757
48,0.24986999999999998
49,0.40257
50,0.23986000000000002
51,0.43456
52,0.33959
53,-0.24745999999999996
55,0.25041
56,0.54223
57,-0.17935
58,0.45709999999999995
59,0.27853
60,0.14926
61,0.27963
62,0.43940999999999997
63,0.05939999999999999
64,0.11355
65,0.3612
66,0.49268
67,0.07396000000000001
68,0.5574
69,0.5861799999999999
70,0.5190400000000001
72,0.47680999999999996
73,0.48619
74,0.18375999999999998
75,0.0
76,0.17394
77,0.37337
78,0.3793
79,0.3610333333333333
80,0.16599
81,0.37614000000000003
82,0.38529
83,0.50083
84,0.015389999999999992
85,0.5433399999999999
86,0.2587
87,0.67899
88,0.35043
89,0.49207
90,0.2973
91,0.6453300000000001
92,0.48345000000000005
93,0.3339
94,0.53122
95,0.5595
96,0.37907
97,0.43488
98,-0.037040000000000003
99,0.54159
100,0.45885
101,0.15104
102,0.42618
103,-0.1591
104,-0.7184
105,0.11976
106,0.013220000000000004
107,0.29442
108,0.39071999999999996
109,0.39942
110,-0.016010000000000024
111,0.36031
112,0.11783999999999999
113,0.5669571428571428
114,0.52766
116,0.64024
117,0.12395
118,0.49416000000000004
119,0.4652
120,0.31945
121,0.08081999999999999
122,-0.00026999999999998136
123,0.09591000000000002
124,0.54481
125,0.13526
126,0.45698
128,0.27991
129,0.27077999999999997
130,0.17412999999999998
131,0.11657
132,0.48499
133,0.06387000000000001
134,0.18002
135,0.39293
136,0.6744399999999999
137,0.64714
138,-0.017724999999999998
139,0.44806
140,0.27722
141,0.26599
142,0.31578999999999996
143,0.38621
144,0.27591
145,0.15112
146,0.3534
147,0.06423000000000002
148,0.04678000000000001
149,0.2888
150,0.45527999999999996
151,0.63183
152,0.08148
153,0.43056
154,0.59297
155,0.25284999999999996
156,0.36451
157,0.008740000000000003
158,0.06963
159,-0.14007
160,0.65773
161,0.48619
162,0.38784
163,0.19361
165,-0.05129
166,0.39444
167,0.38897
168,0.56452
169,0.38805999999999996
170,0.45599
171,0.32866
172,0.21295999999999998
173,0.24222000000000002
174,0.5801000000000001
175,0.39733
